wpi_percent,21_and_under,22_to_26,27_to_31,32_to_36,37_to_41,42_to_46,47_to_51,52_to_56,57_to_61,62_and_over,Index
1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,3,3,3,2
3,2,2,3,3,3,3,3,4,4,4,3
4,3,3,3,4,4,4,5,5,5,6,4
5,4,4,4,5,5,5,6,6,6,7,5
6,5,5,5,6,6,6,7,7,8,8,6
7,5,6,6,7,7,8,8,9,9,10,7
8,6,6,7,7,8,9,9,10,10,11,8
9,7,7,8,8,9,10,10,11,12,12,9
10,8,8,9,9,10,11,11,12,13,13,10
11,8,9,10,10,11,12,13,13,14,15,11
12,9,10,10,11,12,13,14,15,15,16,12
13,10,11,11,12,13,14,15,16,16,17,13
14,11,11,12,13,14,15,16,17,18,19,14
15,12,12,13,14,15,16,17,18,19,20,15
16,12,13,14,15,16,17,18,19,20,21,16
17,13,14,15,16,17,18,19,20,21,22,17
18,14,15,16,17,18,19,20,21,23,24,18
19,15,16,17,18,19,20,22,23,24,25,19
20,16,17,18,19,20,21,23,24,25,26,20
21,17,18,19,20,21,22,24,25,26,27,21
22,17,18,20,21,22,23,25,26,28,29,22
23,18,19,20,22,23,24,26,27,29,30,23
24,19,20,21,23,24,25,27,28,30,31,24
25,20,21,22,24,25,27,28,29,31,32,25
26,21,22,23,25,26,28,29,31,32,33,26
27,22,23,24,26,27,29,30,32,33,35,27
28,23,24,25,27,28,30,31,33,34,36,28
29,24,25,26,28,29,31,32,34,36,37,29
30,24,25,27,28,30,32,33,35,37,38,30
31,25,26,28,30,31,33,35,36,38,39,31
32,26,27,29,31,32,34,36,37,39,40,32
33,27,28,30,32,33,35,37,38,40,42,33
34,28,29,31,33,34,36,38,39,41,43,34
35,29,30,32,34,35,37,39,41,42,44,35
36,30,31,33,35,36,38,40,42,43,45,36
37,31,32,34,36,37,39,41,43,44,46,37
38,32,33,35,37,38,40,42,44,46,47,38
39,33,34,36,38,39,41,43,45,47,48,39
40,34,35,37,39,40,42,44,46,48,50,40
41,35,36,38,40,41,43,45,47,49,51,41
42,36,37,39,41,42,44,46,48,50,52,42
43,36,37,39,41,43,45,47,49,51,53,43
44,37,38,40,42,44,46,48,50,52,54,44
45,38,39,41,43,45,47,49,51,53,55,45
46,39,40,42,44,46,48,50,52,54,56,46
47,40,41,43,45,47,49,51,53,55,57,47
48,41,42,44,46,48,50,52,54,56,58,48
49,42,43,45,47,49,51,53,55,57,59,49
50,43,44,46,48,50,52,54,56,58,60,50
51,44,45,47,49,51,53,55,57,59,61,51
52,45,46,48,50,52,54,56,58,60,62,52
53,46,47,49,51,53,55,57,59,61,63,53
54,47,48,50,52,54,56,58,60,62,64,54
55,48,49,51,53,55,57,59,61,63,65,55
56,49,50,52,54,56,58,60,62,64,66,56
57,50,51,53,55,57,59,61,63,65,67,57
58,51,53,55,57,58,60,62,64,66,68,58
59,52,54,56,58,59,61,63,65,67,69,59
60,53,55,57,59,60,62,64,66,68,70,60
61,54,56,58,60,61,63,65,67,69,71,61
62,55,57,59,61,62,64,66,68,69,71,62
63,57,58,60,62,63,65,67,69,70,72,63
64,58,59,61,63,64,66,68,70,71,73,64
65,59,60,62,64,65,67,69,71,72,74,65
66,60,61,63,65,66,68,70,72,73,75,66
67,61,62,64,66,67,69,70,72,74,76,67
68,62,63,65,67,68,70,71,73,75,77,68
69,63,64,66,68,69,71,72,74,76,78,69
70,64,65,67,69,70,72,73,75,76,78,70
71,65,66,68,70,71,73,74,76,77,79,71
72,66,67,69,71,72,74,75,77,78,80,72
73,68,69,70,72,73,75,76,78,79,81,73
74,69,70,71,73,74,76,77,79,80,82,74
75,70,71,72,74,75,77,78,80,81,83,75
76,71,72,73,75,76,78,79,80,82,83,76
77,72,73,74,76,77,79,80,81,82,84,77
78,73,74,75,77,78,80,81,82,83,85,78
79,74,75,76,78,79,81,82,83,84,86,79
80,76,77,78,79,80,81,82,84,85,86,80
81,77,78,79,80,81,82,83,85,86,87,81
82,78,79,80,81,82,83,84,86,87,88,82
83,79,80,81,82,83,84,85,86,87,89,83
84,80,81,82,83,84,85,86,87,88,89,84
85,81,82,83,84,85,86,87,88,89,90,85
86,83,83,84,85,86,87,88,89,90,91,86
87,84,85,85,86,87,88,89,90,91,92,87
88,85,86,86,87,88,89,90,91,91,92,88
89,86,87,87,88,89,90,91,91,92,93,89
90,88,88,89,89,90,91,91,92,93,93,90
91,89,89,90,90,91,92,92,93,94,94,91
92,90,90,91,92,92,93,93,94,94,95,92
93,91,92,92,93,93,94,94,95,95,96,93
94,92,93,93,94,94,95,95,95,96,96,94
95,94,94,94,95,95,96,96,96,97,97,95
96,95,95,95,96,96,96,97,97,97,98,96
97,96,96,97,97,97,97,97,98,98,98,97
98,97,98,98,98,98,98,98,98,99,99,98
99,99,99,99,99,99,99,99,99,99,99,99
100,100,100,100,100,100,100,100,100,100,100,100