group_number,occupation_title,industry
110," Psychologist, Clinical"," profess. & kin."
110," Account Exec"," business ser."
110," Cephalometric Analyst"," medical ser."
110," Director, Regulatory Agency"," government ser."
110," Drawings Checker, Engineering"," profess. & kin."
110," Psychologist, Counseling"," profess. & kin."
110," Director, Service"," retail trade"
110," Legislative Assistant"," government ser."
110," Grant Coordinator"," profess. & kin."
110," Clinical Psychologist"," profess. & kin."
110," Urban Planner"," profess. & kin."
110," Cardiac Monitor Technician"," medical ser."
110," Financial Planner"," profess. & kin."
110," Manager, Data Processing"," profess. & kin."
110," Manager, Benefits"," profess. & kin."
110," Director, Research & Development"," any industry"
110," Judge"," government ser."
110," Management Analyst"," profess. & kin."
110," Job Development Specialist"," profess. & kin."
110," Harbor Master"," government ser."
110," Consultant, Education"," education"
110," Counselor"," profess. & kin."
110," Manager, Department"," any industry"
110," Hearing Officer"," government ser."
110," Reports Analyst"," profess. & kin."
110," Appeals Referee"," government ser."
110," Voc Rehab Consultant"," government ser."
110," President"," any industry"
110," Public Health Service Officer"," government ser."
110," Import-Export Agent"," any industry"
110," Manager, Bus Transportation"," motor trans."
110," Literary Agent"," business ser."
110," Editor, Managing, Newspaper"," print & pub."
110," Coordinator, Skill-Training Program"," government ser."
110," Financial Aids Officer"," education"
110," Biology Specimen Technician"," profess. & kin."
110,Business Manager,any industry
111," Hazardous Waste Management, Specialist"," government ser."
111," Reservations Agent"," air trans."
111," Caseworker"," social ser."
111," Auditor"," profess. & kin."
111," Accountant Property"," profess. & kin."
111," Account Info Clk"," utilities"
111," Tumor Registrar"," medical ser."
111," Data Base Administrator"," profess. & kin."
111," Police Clerk"," government ser."
111," Tax Preparer"," business ser."
111," Systems Programmer"," profess. & kin."
111," Crew Scheduler"," air trans."
111," Archivist"," profess. & kin."
111," Bonding Agent"," business ser."
111," Personnel Recruiter"," profess. & kin."
111," Navigator"," air trans."
111," Market Research Analyst"," profess. & kin."
111," Copy Reader"," print. & pub."
111," Computer Support Analyst"," profess. & kin."
111," Business Representative, Labor Union"," profess. & kin."
111," Train Dispatcher"," r. r. trans."
111," Holter Scanning Technician"," medical ser."
111," Lawyer"," profess. & kin."
111," Alarm Signal Operator"," any industry"
111," Interviewer, Employment"," profess. & kin."
111," Auction Clerk"," retail trade"
111," Attendance Clerk"," education"
111," Court Clerk"," government ser."
111," Information And Referral Aide"," government ser."
111," Hospital Admitting Clerk"," medical ser."
111," Document Preparer, Microfilm"," business ser."
111," Copy Writer"," profess. & kin."
111," Industrial Engineer"," profess. & kin."
111," Social Worker"," social ser."
111," Statistician, Applied"," profess. & kin."
111," Editor, Newspaper"," print & pub."
111," Admissions Evaluator"," education"
111," Engineer, Power Distribution"," utilities"
111," Stress Analyst"," aircraft mfg."
111," Engineer, Electro-Optical"," profess. & kin."
111," Columnist/Commentator"," print. & pub."
111," Equal Opportunity Rep."," government ser."
111," Copyist"," any industry"
111," Clerk, Election"," government ser."
111," Forms Analyst"," profess. & kin."
111," Escrow Officer"," profess. & kin."
111," Manager, Personnel"," profess. & kin."
111," Switchboard Operator, Police District"," government ser."
111," Computer Security Specialist"," profess. & kin."
111," Clerk, Animal Hospital"," medical ser."
111," Examiner"," government ser."
111," Engineer, Biomedical"," profess. & kin."
111," Employee Relations Specialist"," profess. & kin."
111," Engineer, Nuclear"," profess. & kin."
111," Administrative Analyst"," any industry"
111," Clerk, Contract, Automobile"," retail trade"
111," Manager, Office"," any industry"
111," Clerk, Court"," government ser."
111," Proofreader, Production"," print & pub."
111," Systems Analyst"," profess. & kin."
111," Abstractor"," profess. & kin."
111," Check Cashier"," business ser."
111," Engineer, Packaging"," profess. & kin."
111," Budget Analyst"," government ser."
111," Credit Counselor"," profess. & kin."
111," Traffic Clerk"," business ser."
111," Television Console Monitor"," radio-TV broad."
111," Engineer, Aeronautical Design"," aircraft mfg."
111," Optical Engineer"," profess. & kin."
111," Employment Interviewer"," profess. & kin."
111," Automobile Locator"," retail trade"
111," Clerk, Advertising Space"," print. & pub."
111," Translator, Documents"," profess. & kin."
111," Child Support Officer"," government ser."
111," Engineer, Product Safety"," profess. & kin."
111," Eligibility Worker"," government ser."
111," Accountant"," profess. & kin."
111," Editor, Publications"," print & pub."
111," Investigator, Credit Fraud"," retail trade"
111," Drafter, Mechanical"," profess. & kin."
112," Magnetic Tape Composer Operator"," print & pub."
112," Telephone Answering Service Op."," business ser."
112," Researcher"," profess. & kin."
112," Registration Clerk"," government ser."
112," Purser"," water trans."
112," Editorial Writer"," print & pub."
112," Public Relations Representative"," profess. & kin."
112," Software Engineer"," profess. & kin."
112," Computer Programmer"," profess. & kin."
112," Manicurist"," personal ser."
112," Stenocaptioner"," radio-TV broad."
112," Secretary, Medical"," medical ser."
112," Recruiter, Personnel"," profess. & kin."
112," Illustrator"," profess. & kin."
112," Writer, Prose, Fiction And Nonfiction"," profess. & kin."
112," Graphic Designer"," profess. & kin."
120," Drafter, Landscape"," profess. & kin."
120," Painter, Hand, Decorative"," any industry"
120," Fingernail Former"," personal ser."
120," Drafter, Assistant"," profess. & kin."
120," Drafter, Architectural"," profess. & kin."
120," Cytotechnologist"," medical ser."
120," Technical Illustrator"," education"
120," Controls Designer"," profess. & kin."
120," Sign Writer, Hand"," any industry"
120," Calligrapher"," profess. & kin."
120," Fashion Artist"," retail trade"
120," Printed Circuit Designer"," profess. & kin."
120," Drafter, Electromechanisms Design"," profess. & kin."
120," Writer, Technical Publications"," profess. & kin."
120," Integrated Circuit Layout Designer"," profess. & kin."
210," Appraiser, Art"," any industry"
210," Interpreter"," profess. & kin."
210," Announcer"," radio-TV broad."
210," Newscaster"," Radio-TV broad."
210," Show Host/Hostess"," Radio-TV broad."
210," Faculty Member, College Or Univ."," education"
210," Auctioneer"," retail trade"
210," Drafter, Electrical"," profess. & kin."
210," Clergy Member"," profess. & kin."
210," Drafter, Civil"," profess. & kin."
211," Echocardiograph Technician"," medical ser."
211," Customer Service Clerk"," retail trade"
211," Custodian, Property"," government ser."
211," Proofreader"," print & pub."
211," Engineer Electronics Design"," profess. & kin."
211," License Clerk"," government ser."
211," Paralegal"," profess. & kin."
211," Electrical Technician"," profess. & kin."
211," Medical Record Clerk"," medical ser."
211," Electromyographic Technician"," medical ser."
211," Electronics Technician"," profess. & kin."
211," Marker"," retail trade"
211," Dialysis Technician"," medical ser."
211," Chemical Laboratory Technician"," profess. & kin."
211," Chemical Engineer"," profess. & kin."
211," Cardiopulmonary Technologist"," medical ser."
211," Audio Operator"," radio-TV broad."
211," Braille Operator"," print. & pub."
211," Architect"," profess. & kin."
211," Appraiser, Business Eqpt."," any industry"
211," Toll Collector"," government ser."
212," Superintendent, Plant Protection"," any industry"
212," Superintendent, Building"," any industry"
212," Speech Pathologist"," profess. & kin."
212," Engineer, Agricultural"," profess. & kin."
212," Engineer, Soils"," profess. & kin."
212," Administrator, Health Care Facility"," medical ser."
212," Sound Effects Technician"," radio-TV broad."
212," Sales Rep, Data Processing Services"," business ser."
212," Security Guard, Gate"," any industry"
212," School Principal"," Education"
212," Manager, Retail Store"," retail trade"
212," Sales Rep, Advertising"," print & pub."
212," Manager, Parts"," retail trade"
212," Manager, Quality Control"," profess. & kin."
212," Radiographer, Industrial"," any industry"
212," Safety Manager"," profess. & kin."
212," Rehabilitation Center Manager"," government ser."
212," Manager, Labor Relations"," profess. & kin."
212," Recording Engineer"," radio-TV broad."
212," Manager, Customer Services"," business ser."
212," Radiotelephone Operator"," any industry"
212," Engineer, Railroad"," profess. & kin."
212," Producer"," radio-TV broad."
212," Management Trainee"," any industry"
212," Plant Engineer"," profess. & kin."
212," Occupational Analyst"," profess. & kin."
212," Nurse, School"," medical ser."
212," Job Analyst"," profess. & kin."
212," Nurse case manager"," Medical Services"
212," Gate Agent"," air trans."
212," Interpreter, Deaf"," profess. & kin."
212," Funeral Director"," personal ser."
212," Flight Engineer"," air trans."
212," Physician Assistant"," medical ser."
212," Polygraph Examiner"," profess. & kin."
212," Metallurgical Tester"," profess. & kin."
212," Fashion Designer"," profess. & kin."
212," Lab, Assistant, Blood And Plasma"," medical ser."
212," Medical Laboratory Technician"," medical ser."
212," Manager, Advertising Agency"," business ser."
212," Engineer, Mechanical"," profess. & kin."
212," Medical Assistant, Office"," medical ser."
212," Photographer, Still"," profess. & kin."
212," Master Control Operator"," radio-TV broad."
212," Engineer, Factory Lay-Out"," profess. & kin."
212," Quality Control Technician"," profess. & kin."
212," Engineer, Civil"," profess. & kin."
212," Pulmonary Function Technician"," medical ser."
212," Manager, Fast Food Services"," retail trade"
212," Engineer, Chemical"," profess. & kin."
212," Safety Engineer"," profess. & kin."
212," Engineer, Automotive"," auto mfg."
212," Electronics Design Engineer"," profess. & kin."
212," Electrical Engineer"," profess. & kin."
212," Director, Recreational Center"," social ser."
212," Dietitian, Clinical"," profess. & kin."
212," Dental Assistant"," medical ser."
212," Demonstrator"," retail trade"
212," Sales Rep, Upholstery, Furniture Repair"," retail trade"
212," 211x Flight Information Expediter"," air trans."
212," Civil Engineer"," profess. & kin."
212," Manager, Warehouse"," any industry"
212," Manager, Vehicle Leasing / Rental"," automotive ser."
212," Chemist"," profess. & kin."
212," Biochemist"," profess. & kin."
212," Air Traffic Control Specialist, Tower"," government ser."
212," X-ray Operator, Industrial"," any industry"
212," Voice Pathologist"," profess. & kin."
212," Videotape Operator, Studio"," radio-TV broad."
212," Ultrasound Technologist"," medical ser."
212," Stress Test Technician"," medical ser."
212," Tutor"," education"
212," Traffic Engineer"," government ser."
212," Industrial Hygienist"," profess. & kin."
212," Time And Motion Study Analyst"," profess. & kin."
212," Ticket Agent"," any industry"
212," Teacher, Adult Education"," education"
212," Testing Machine Operator, Metal"," profess. & kin."
212," Air Analyst"," profess. & kin."
213," Exterminator"," business ser."
213," Estimator/Cruiser"," forestry"
213," Engineer, Field Service"," profess. & kin."
213," Engineer, Aeronautical Test"," aircraft mfg."
213," Seismologist"," profess. & kin."
213," Environmental Analyst"," profess. & kin."
213," Customer Service Representative"," utilities"
213," Contractor"," construction"
213," Ticket inspector, transportation"," Transportation"
213," Shop Estimator"," automotive ser."
213," Salesperson, Shoes"," retail trade"
213," Superintendent, Construction"," construction"
213," Soil Conservationist"," profess. & kin."
213," Sales Clerk"," retail trade"
213," Field Engineer"," radio-TV broad."
213," Photojournalist"," print & pub."
213," Surgical technician"," Medical Srvcs."
213," OSHA Inspector"," government ser."
213," Conductor, Passenger Car"," r.r. trans."
213," Manager, Nursery"," agriculture"
213," Building Inspector"," government ser."
213," Manager, Dairy Farm"," agriculture"
213," Bill Poster"," business ser."
213," Manager, Automobile Service Station"," retail trade"
213," Airplane Inspector"," air trans."
213," Airline Transportation Agent"," air trans."
213," Land Surveyor"," profess. & kin."
213," Meter Reader"," utilities"
213," Inspector, Weigh Station"," government ser."
213," Inspector, Metal Fabricating"," any industry"
213," Inspector, Airplane"," air trans."
213," Inspector, Air Carrier"," government ser."
213," Inspector, Agricultural Commodities"," government ser."
213," Horticulturist"," profess. & kin."
213," Guide, Establishment"," any industry"
213," Service Representative"," utilities"
213," Geologist"," profess. & kin."
213," Forester"," profess. & kin."
213," Teacher, Secondary School"," education"
214," Model, Photographers"," any industry"
214," Vault Cashier"," business ser."
214," Interior Designer"," profess. & kin."
214," Anesthesiologist"," medical ser."
214," Teacher, Vocational Training"," education"
214," Order Filler, Catalog Sales"," retail trade"
214," Teacher, Preschool/Kindergarten"," education"
214," Grocery Checker"," retail trade"
214," Teacher, Physically Impaired"," education"
214," Teacher, Learning Disabled"," education"
214," Teacher, Industrial Arts"," education"
214," Clerk, Sales"," retail trade"
214," Teacher, Elementary School"," education"
214," Teacher Aide"," education"
214," Checker, Grocery"," retail trade"
214," Cashier-Checker"," retail trade"
214," Teacher, Music"," education"
214," Bagger"," retail trade; groceries"
214," Auto Repair Service Estimator"," automotive ser."
214," Service Manager"," automotive ser."
214," Instructor, Vocational Training"," education"
214," Salesperson, Parts"," retail trade"
214," Salesperson, General Merchandise"," retail trade"
214," Retail Clerk"," retail trade"
214," Recreation Aide"," social ser."
214," Security Guard, Plant"," any industry"
214," Parking Lot Attendant"," automotive ser."
220," Optometrist"," medical ser."
220," Physician, General Practitioner"," medical ser."
220," Phlebotomist"," medical ser."
220," Pharmacist"," medical ser."
220," Candlemaker"," fabrication, nec"
220," Nurse Anesthetist"," medical ser."
220," Medical Laboratory Technologist"," medical ser."
220," Laboratory Tester"," any industry"
220," Internist"," medical ser."
220," Dental Hygienist"," medical ser."
220," Instrument Maker And Repairer"," any industry"
220," Tool Designer"," profess. & kin."
220," Gunsmith"," any industry"
220," Dentist"," medical ser."
220," Surgeon"," medical ser."
220," Repairer, Art Objects"," any industry"
221," Wire Harness Assembler"," elec. equip."
221," Cutting Machine Operator, Automated"," aircraft mfg."
221," Tube Bender, Hand"," any industry"
221," Thread Cutter, Hand or Machine"," any industry"
221," Sports Equipment Repairer"," any industry"
221," Assembler, Electric Motor"," elec. equip."
221," Silk Screen Printer"," any industry"
221," Silk Screen Frame Assembler"," any industry"
221," Shoe Repairer"," personal ser."
221," Inspector, Metal Finish"," any industry"
221," Inspector, Glass"," any industry"
221," Inspector, Garment"," any industry"
221," Inspector, Fabric"," any industry"
221," Inspector, Electronics"," comm. equip."
221," Quality Assurance Monitor"," auto mfg."
221," Printed Circuit Board Assembler, Hand"," comm. equip."
221," Inspector"," plastic prod."
221," Picture Framer"," retail trade"
221," Piano Tuner"," any industry"
221," Gilder, Metal Leaf"," any industry"
221," Gift Wrapper"," retail trade"
221," Garment Cutter, Hand"," any industry"
221," Photoengraver"," print & pub."
221," Painter, Airbrush"," any industry"
221," Florist"," retail trade"
221," Filler"," tex. Prod., nec"
221," Mold And Model Maker, Plaster"," concrete prod."
221," Fabricator, Foam Rubber"," any industry"
221," Model Maker"," any industry"
221," Mixer, Paint (Hand)"," any industry"
221," Mat Cutter, Picture Frames"," wood prod., nec"
221," Masker, Parts"," any industry"
221," Electrical Instrument Repairer"," any industry"
221," Presser, Hand"," any industry"
221," Electrical Appliance Repairer, Small"," any industry"
221," Locksmith"," any industry"
221," Electric Motor Assembler"," elec. equip."
221," Racket Stringer"," toy-sport equip."
221," Leather Cutter"," leather prod."
221," Egg Candler"," any industry"
221," Key Cutter"," any industry"
221," Sewer, Hand"," any industry"
221," Dressmaker"," any industry"
221," Podiatrist"," medical ser."
221," Decal Applier"," any industry"
221," Compositor, Typesetter"," print. & pub."
221," Coil Winder, Repair"," any industry"
221," Clay Modeler"," any industry"
221," Bow Maker"," any industry"
221," Book Repairer"," any industry"
221," Audio Video Repairer"," any industry"
221," Assembler, Small Products"," any industry"
221," Assembler, Production"," any industry"
230," Ski Repairer, Production"," toy-sport equip."
230," Cap-Lining Machine Operator"," any industry"
230," Babysitter"," domestic ser."
230," Platen Press Operator"," print & pub."
230," Platen Press Feeder"," print & pub."
230," Typesetting Machine Tender"," print & pub."
230," Ticket Printer"," any industry"
230," Pattern-Punching Machine Operator"," tex. prod., nec"
230," Tacking Machine Operator"," any industry"
230," Stretching Machine Tender, Frame"," leather mfg."
230," Offset Press Operator"," print & pub."
230," Stitcher, Wire, Saddle And Side"," print & pub."
230," Still Tender"," any industry"
230," Molding Machine Tender, Compression"," plastic prod."
230," Sterilizer"," medical ser."
230," Microfilm Processor"," business ser."
230," Soap Maker"," soap & rel."
230," Mailing Machine Operator"," print & pub."
230," Machine Operator, Roofing Materials"," build. mat., nec"
230," Seed Pelleter"," agriculture"
230," Leather Garment Presser"," laundry & rel."
230," Sawyer, Cork Slabs"," wood prod., nec"
230," Rougher, Bar Mill"," steel & rel."
230," Rolling Mill Attendant"," steel & rel."
230," Kick Press Operator"," any industry"
230," Rivet And Bolt Maker"," any industry"
230," Injection Molding Machine Tender"," plastic prod."
230," Hemmer, Automatic"," tex. prod., nec"
230," Press Operator, Offset"," print & pub."
230," Grommet Machine Operator"," any industry"
230," Press Operator"," laundry & rel."
230," Ginner"," agriculture"
230," Sewing Machine Operator"," tex. prod., nec"
230," Folding Machine Operator"," print & pub."
230," Folder Seamer, Automatic"," any industry"
230," Flatwork Finisher"," laundry & rel."
230," Stamping Press Operator"," any industry"
230," Buffing Machine Tender, Automatic"," any industry"
230," Box Printing Machine Operator"," any industry"
230," Blueprinting Machine Operator"," any industry"
230," Bindery Worker"," print. & pub."
230," Embossing Press Operator"," print & pub."
230," Drier Operator"," food prep., nec"
230," Cutter, Machine"," any industry"
230," Palletizer Operator, Automatic"," any industry"
230," Typesetter/Compositor"," print & pub."
230," Crimping Machine Operator"," any industry"
230," Toy Assembler"," toy-sport equip."
230," Phototypesetter Operator"," print & pub."
230," Touch-Up Painter, Hand"," any industry"
230," Coffee Roaster"," food prep., nec"
230," Striper & Letterer, Hand, Motorcycles"," any industry"
230," Pleating Machine Operator"," any industry"
230," Spot Cleaner"," laundry & rel."
230," Centrifuge Operator, Plasma Process."," medical ser."
230," Sorter, Agricultural Produce"," agriculture"
240," Inspector, Transportation"," motor trans."
240," Weight Reduction Specialist"," personal services"
240," Inspector, Health Care Facilities"," government ser."
240," Inspector, Food And Drug"," government ser."
240," Fashion Coordinator"," retail trade"
240," """"Model, Artists"""""," any industry"
240," Host/Hostess"," any industry"
240," Guard, School-Crossing"," government ser."
240," Blind Aide"," personal ser."
240," Audiovisual Production Specialist"," profess. & kin."
240," Companion"," domestic ser."
240," Child Monitor"," domestic ser."
240," Butler"," domestic ser."
240," Checkroom Attendant"," any industry"
240," Shuttle Bus Driver"," any industry"
250," Deliverer, Floral Arrangements"," retail trade"
250," Locomotive Engineer"," r.r. trans."
250," Light Rail Car Operator"," r.r. trans."
250," Deliverer, Pizza"," retail trade"
250," Police Artist"," government ser."
250," Deliverer, Car Rental"," automotive ser."
250," Chauffeur"," any industry"
250," Process Server"," business ser."
250," Bus Driver"," motor trans."
250," Airplane Pilot, Commercial"," air trans."
250," Patrol officer, volunteer"," Government Srvcs"
250," Parking Enforcement Officer"," government ser."
250," Motorcycle Driver, Delivery"," retail trade"
250," Valet, Parking"," automotive ser."
250," Taxi Driver"," motor trans."
250," Subway Car Operator"," r. r. trans."
251," Sales Rep, Recreation, Sporting Goods"," wholesale tr."
251," Sales Rep, Office Machines"," retail trade"
251," Sales Rep, Livestock"," wholesale tr."
251," Parking Lot Attendant, Booth"," automotive ser."
251," Coin Machine Collector"," business ser."
251," Sales Rep, Door-To-Door"," retail trade"
251," Reporter"," print & pub."
251," Sales Rep, Computers And EDP Systems"," wholesale tr."
251," Purchasing Agent"," profess. & kin."
251," Real Estate Agent"," profess. & kin."
251," Investigator, Inside/Outside"," business ser."
251," Auditor, Field"," profess. & kin."
251," Investigator"," government ser."
251," Sales Rep, Farm, Garden Eqpt. & Supplies"," wholesale tr."
251," Instructor, Driving"," education"
251," Inspector, Quality Assurance"," government ser."
251," """"Drivers License Examiner"""""," government ser."
251," Rest Room Attendant"," any industry"
251," Sales Rep, Security Systems"," business ser."
251," """"Sales Rep, Womens And Girls Apparel"""""," wholesale tr."
251," Salesperson, Automobiles"," retail trade"
251," Taxidermist"," profess. & kin."
290," Cosmetologist"," personal ser."
290," Barber"," personal ser."
290," Beautician"," personal ser."
290," Hair Stylist"," personal ser."
290," Electrologist"," personal ser."
310," Nuclear Medicine Technologist"," medical ser."
310," Angiogram Technologist"," medical ser."
310," Radiation Therapy Technologist"," medical ser."
310," MRI Technologist"," medical ser."
310," Perfusionist"," medical ser."
310," Physiatrist"," medical ser."
310," Prosthetist"," medical ser."
311," Respiratory Therapist"," medical ser."
311," Nurse, Licensed Vocational"," medical ser."
311," Psychiatric Technician"," medical ser."
311," Nurse-Midwife"," medical ser."
311," Physical Therapist"," medical ser."
311," Occupational Therapist"," medical ser."
311," Nurse, Private Duty"," medical ser."
311," Masseur/Masseuse"," personal ser."
311," Veterinarian"," medical ser."
311," Veterinarian, Laboratory Animal Care"," medical ser."
311," Chiropractor"," medical ser."
311," Veterinary Technician"," medical ser."
320," Sheet metal Fabricating Machine Oper."," any industry"
320," Armature Bander"," any industry"
320," Acupressurist"," medical ser."
320," Bicycle Repairer"," any industry"
320," Biomedical Equipment Technician"," profess. & kin."
320," Bookbinder"," print. & pub."
320," Orthotist"," medical ser."
320," Cable Assembler And Swager"," aircraft mfg."
320," Capacitor Assembler"," elec. equip."
320," Cash Register Servicer"," any industry"
320," Casting Repairer"," any industry"
320," Radiologic Technologist"," medical ser."
320," Recreational Therapist"," medical ser."
320," X-ray Technologist"," medical ser."
320," Computer set-up person"," Business Services"
320," Chiropractor Assistant"," medical ser."
320," Electric Motor Control Unit Assembler"," elec. equip."
320," Nurse, General Duty"," medical ser."
320," Electromedical Equipment Repairer"," any industry"
320," Percussion Instrument Repairer"," any industry"
320," Etcher, Hand"," print & pub."
320," Piano Technician"," any industry"
320," Fabricating Machine Operator, Metal"," any industry"
320," Precision Assembler, Bench"," aircraft mfg."
320," Fire Extinguisher Repairer"," any industry"
320," Printer, Job"," print & pub."
320," Firesetter"," elec. equip."
320," Fixture Repairer-Fabricator"," any industry"
