group_number,occupation_title,industry
320," Former, Hand"," any industry"
320," Repairer, Office Machines"," any industry"
320," Gas Meter Adjuster"," utilities"
320," Repairer, Salvaged Parts"," any industry"
320," Harness Maker"," leather prod."
320," Repairer, Wind Instrument"," any industry"
320," Inspector, Eddy Current"," steel & rel."
320," Screen Maker, Photographic Process"," any industry"
320," Instrument Repairer"," any industry"
320," Setter, Automatic Spinning Lathe"," any industry"
320," Subassembler"," machinery mfg."
320," Lay-Out Maker sheet metal; any"," industry"
320," Television And Radio Repairer"," any industry"
320," Leather Worker"," leather prod."
320," Template Maker"," any industry"
320," Tester, Nondestructive"," profess. & kin."
320," Luggage Repairer"," any industry"
320," Machinist, Automotive"," automotive ser."
320," Meter Repairer"," any industry"
320," Vacuum Cleaner Repairer"," any industry"
320," Auto Painter"," any industry"
320," Office Machine Servicer"," any industry"
320," Battery Assembler, Dry Cell"," elec. equip."
320," Battery Repairer"," any industry"
320," Box Maker, Paperboard"," any industry"
321," Polisher/Buffer"," any industry"
321," Automobile Upholsterer"," automotive ser."
321," Furniture Upholsterer"," any industry"
321," Broom Stitcher"," fabrication, nec"
321," Straightener, Hand"," any industry"
321," Painter, Spray Gun"," any industry"
321," Tire Recapper"," automotive ser."
321," Driller, Hand"," any industry"
321," Presser, All-Round"," laundry & rel."
321," Glass Polisher"," glass mfg."
321," Buffer"," any industry"
321," Garment Cutter, Machine"," any industry"
322," Painter, Brush"," any industry"
322," Cloth Printer"," any industry"
322," Flight Attendant"," air trans."
322," Mold Repairer"," any industry"
322," Meat Clerk"," retail trade"
322," Caterer"," personal ser."
322," Salad Maker"," water trans."
322," Metal Sprayer, Production"," any industry"
322," Die Cutter"," any industry"
322," Arbor Press Operator"," any industry"
322," Painter, Touch-Up"," any industry"
322," Metal Grinder And Finisher"," any industry"
322," Grinder, Disk, Belt or Wheel"," any industry"
322," Parachute Rigger"," air trans."
322," Airplane Flight Attendant"," air trans."
322," Cook"," any industry"
322," Cook"," domestic ser."
322," Presser, Machine"," any industry"
322," Putty Glazer, Pottery"," any industry"
322," Rug Repairer"," laundry & rel."
322," Saw Blade Filer"," any industry"
322," Deli Cutter-Slicer"," retail trade"
322," Dietary Aide, Hospital Services"," medical ser."
330," Spray Painting Machine Operator"," any industry"
330," Stapling Machine Operator"," any industry"
330," Stereotype Caster & Molder"," print & pub."
330," Polishing Machine Operator"," any industry"
330," Straightening Press Operator"," any industry"
330," Stranding Machine Operator"," elec. equip."
330," Bread Wrapping Machine Operator"," any industry"
330," Carton-Forming Machine Operator"," any industry"
330," Crystal Grower"," comm. equip."
330," Meat Cutter"," retail trade"
330," Poultry Dresser"," agriculture"
330," Cutter Operator"," any industry"
330," Cutting Machine Tender"," any industry"
330," Autoclave Operator"," aircraft mfg."
330," Band-Sawing Machine Operator"," fabrication, nec"
330," Bending Machine Operator"," any industry"
330," Fabricator/Assembler, Metal Products"," any industry"
330," Blister Machine Operator"," any industry"
330," Brake Press Operator"," any industry"
330," Grinder, Bench"," any industry"
330," Power Press Tender"," any industry"
330," Grinder, Tool"," any industry"
330," Press Operator, Cylinder"," print & pub."
330," Press Operator, Rotogravure"," print & pub."
330," Pump Machine Operator"," any industry"
330," Punch Press Operator"," any industry"
330," Laminating Machine Feeder"," wood prod., nec"
330," Riveter, Hydraulic"," any industry"
330," Riveting Machine Operator"," any industry"
330," Riveting Machine Operator, Automatic"," aircraft mfg."
330," Robotic Machine Operator"," aircraft mfg."
330," Roller Machine Operator"," metal prod., nec"
330," Router Operator"," any industry"
330," Molder"," aircraft mfg."
330," Nailing Machine Operator"," any industry"
330," Nibbler Operator"," any industry"
330," Offset Press Helper"," print & pub."
330," Package Sealer, Machine"," any industry"
330," Packager, Machine"," any industry"
330," Spinning Lathe Operator"," any industry"
330," Picking Machine Operator"," any industry"
330," Dipper"," any industry"
330," Tool Dresser"," any industry"
330," Tubular Furniture Maker"," any industry"
330," Filter Operator"," any industry"
330," Forming Machine Operator"," glass mfg."
330," Web Press Operator"," print & pub."
330," Web Press Operator Helper, Offset"," print & pub."
330," Metal Cleaner, Immersion"," any industry"
330," Mill Operator"," any industry"
330," Wrapping Machine Operator"," any industry"
331," Mixing Machine Operator"," food prep., nec"
331," Bowling Ball Molder"," toy-sport equip."
331," Oxidized Finish Plater"," any industry"
331," Decontaminator, Radioactive Material"," any industry"
331," Briquette Machine Operator"," fabrication, nec"
331," Centrifugal Extractor Operator"," any industry"
331," Embosser"," any industry"
331," Ceramic Coater, Machine"," any industry"
331," Felting Machine Operator"," tex. Prod., nec"
331," Washer, Machine"," any industry"
331," Coater Operator"," any industry"
331," Lacquerer"," plastic prod."
331," Fruit Grader Operator"," agriculture"
332," Water Pump Tender"," any industry"
332," Fuel Attendant, Plant"," any industry"
332," Wastewater Treatment Plant Oper."," sanitary ser."
332," Gas Compressor Operator"," any industry"
332," Nurse Aide"," medical ser."
332," Gas Engine Operator"," any industry"
332," Turbine Operator"," utilities"
332," Hydroelectric Station Operator"," utilities"
332," Turbine Attendant"," utilities"
332," Operating Engineer"," any industry"
332," Cleaner, Hospital"," medical ser."
332," Substation Operator"," utilities"
332," Power Plant Operator"," utilities"
332," Stationary Engineer"," any industry"
332," """"Childrens Institution Attendant"""""," any industry"
332," Boiler Operator"," any industry"
332," Power Reactor Operator"," utilities"
332," Boiler Tender"," any industry"
332," Psychiatric Ward Attendant"," medical ser."
332," Lubrication Servicer"," automotive ser."
332," Compressor Operator"," any industry"
332," Physical Therapy Aide"," medical ser."
332," Firer, High Pressure"," any industry"
340," Greaser"," any industry"
340," Child-Care Attendant, Handicapped"," education"
340," Cleaner, Commercial Or Institutional"," any industry"
340," Cleaner, Equipment"," any industry"
340," Cleaner, Laboratory Equipment"," any industry"
340," Conductor, All Rails"," r.r. trans."
340," Custodian"," any industry"
340," Dry Cleaner"," laundry & rel."
340," Equipment Cleaner"," any industry"
340," Funeral Attendant"," personal ser."
340," Operating Engineer, Refrigeration"," any industry"
340," Home Attendant"," personal ser."
340," Janitor"," any industry"
340," Laboratory Equipment Cleaner"," any industry"
340," Launderer, Hand"," laundry & rel."
340," Mental Retardation Aide, Institution"," medical ser."
340," Morgue Attendant"," medical ser."
340," Occupational Therapy Aide"," medical ser."
340," Oiler"," any industry"
340," Respiratory Therapy Aide"," medical ser."
340," Automobile Detailer"," automotive ser."
340," Rug Cleaner, Hand or Machine"," laundry & rel."
340," Automobile Washer & Polisher"," automotive ser."
340," Service Station Attendant"," automotive ser."
351," Power Shovel Operator"," any industry"
351," Hoisting Engineer"," any industry"
351," Elevating Grader Operator"," construction"
351," Rock Drill Operator"," construction"
351," Logging Tractor Operator"," forestry"
351," Snowplow Operator"," government ser."
351," Boom Conveyor Operator"," any industry"
351," Asphalt Distributor Tender"," construction"
351," Motor-Grader Operator"," construction"
351," Tractor Crane Operator"," any industry"
351," Farm Machine Operator"," agriculture"
351," Bulldozer Operator"," any industry"
351," Overhead Crane Operator"," any industry"
351," Vacuum Cleaner Operator, Industrial"," any industry"
351," Forklift Operator"," any industry"
351," Crane Operator"," any industry"
360," Pile-Driver Operator"," construction"
360," Fireworks Display Specialist"," any industry"
360," Road Roller Operator"," construction"
360," Furniture Crater"," any industry"
360," Grainer, Machine"," any industry"
360," Stevedore"," water trans."
360," Street Sweeper Operator"," government ser."
360," Laborer, General"," plastic prod."
360," Tractor Operator"," any industry"
360," Truck Driver, Road Oiling"," construction"
360," Machine Feeder"," any industry"
360," News Gathering Technician"," radio-TV broad."
360," Packer, Agricultural Produce"," agriculture"
360," Conveyor Feeder-Offbearer"," any industry"
360," Asphalt Surface Heater Operator"," construction"
360," Cargo Agent"," air trans."
360," Checker"," laundry & rel."
360," Concrete Paving Machine Operator"," construction"
360," Checker, warehouse"," retail trade"
360," Dinkey Operator"," any industry"
360," Dragline Operator"," any industry"
360," Asphalt Paving Machine Operator"," construction"
360," Conveyor System Operator"," any industry"
360," Conveyor Tender"," any industry"
360," Crane Follower"," any industry"
360," Crane Hooker"," any industry"
360," Crate Maker"," any industry"
360," Motorboat Operator"," any industry"
360," Displayer, Merchandise"," retail trade"
360," Packer, Hand"," any industry"
360," Porter"," air trans."
360," Produce Clerk, Retail"," Retail Trade"
360," Glass Installer"," automotive ser."
360," Set-up person/trade show"," Retail Trade"
360,"Stocker, Sorter"," retail trade"
360," Surveyor Helper"," any industry"
360," Tool And Equipment Rental Clerk"," business ser."
360," Mechanic, Radiator"," automotive ser."
360," Stocker, Sorter"," any industry"
360," Weigher, Production"," any industry"
370," Machinist, Bench"," machinery mfg."
370," Carpenter, Ship"," ship-boat mfg."
370," Mechanic, Automobile"," automotive ser."
370," Transformer Assembler"," elec. equip."
370," Mechanic, Front End"," automotive ser."
370," Drapery Hanger"," retail trade"
370," Dry Wall Applicator"," construction"
370," Mechanic, Rocket Engine Component"," aircraft mfg."
370," Decorator, Special Event"," any industry"
370," Mechanic, Small Engine"," any industry"
370," Mechanic, Tractor"," automotive ser."
370," Mechanic, Transmission"," automotive ser."
370," Assembler, Motor Vehicle"," auto. mfg."
370," Mechanic, Tune-Up"," automotive ser."
370," Automated Equipment Installer"," machinery mfg."
370," Automobile Accessories Installer"," automotive ser."
370," Motorcycle Repairer"," automotive ser."
370," Automobile Assembler"," auto. mfg."
370," Muffler Installer"," automotive ser."
370," Automobile Body Repairer"," automotive ser."
370," Pinsetter Adjuster, Automatic"," toy-sport equip."
370," Automobile Service Station Mechanic"," automotive ser."
370," Pneumatic Tool Repairer"," any industry"
370," Brake Repairer"," automotive ser."
370," Precision Assembler & Repairer"," aircraft mfg."
370," Pump Servicer"," any industry"
370," Electrician, Automotive"," automotive ser."
370," Construction Equipment Mechanic"," construction"
370," Equipment Installer, Vehicles"," any industry"
370," Sewing Machine Repairer"," any industry"
370," Evaporative Cooler Installer"," any industry"
370," Conveyor Maintenance Mechanic"," any industry"
370," Garage Servicer, Transportation Eqpmt"," any industry"
370," Sheetmetal Mechanic"," any industry"
370," Electrical Appliance Servicer"," any industry"
370," Machine Assembler/Builder"," machinery mfg."
370," Smog Technician"," Automotive Svc"
380," Heating/Air Conditioning Installer-Servicer"," construction"
380," Used Car Renovator"," retail trade"
380," Data Communications Installer"," any industry"
380," Aircraft Body Repairer"," air trans."
380," Electric Meter Installer"," utilities"
380," Aircraft Bonded Structures Repair"," aircraft mfg."
380," Electrician"," construction"
380," Airframe & Power Plant Mechanic"," aircraft mfg."
380," Electrician"," ship-boat mfg."
380," Alarm Service Technician"," business ser."
380," Electrician Apprentice"," construction"
380," Antenna Installer"," any industry"
380," Electrician Helper"," any industry"
380," Antenna Installer, Satellite Communications"," any industry"
380," Electrician, Maintenance"," any industry"
380," Assembler, Subassembly"," aircraft mfg."
380," Electrician, Powerhouse"," utilities"
380," Assembler-Installer, General"," aircraft mfg."
380," Elevator Examiner And Adjuster"," any industry"
380," Elevator Repairer"," any industry"
380," Boat Repairer"," ship-boat mfg."
380," Boat Rigger"," retail trade"
380," Experimental Aircraft Mechanic"," aircraft mfg."
380," Boatbuilder, Wood"," ship-boat mfg."
380," Floor Layer"," construction"
380," Building Maintenance Repairer"," any industry"
380," Furnace Installer And Repairer, Hot Air"," utilities"
380," Burglar Alarm Installer/Repairer"," business ser."
380," Glazier"," construction"
380," Cable Installer-Repairer"," utilities"
380," Handyperson"," any industry"
380," Cable Maintainer"," utilities"
380," Hardwood Floor Layer"," construction"
380," Cable Splicer"," construction"
380," Insulation Worker"," construction"
380," Carpenter"," construction"
380," Joiner"," ship-boat mfg."
380," Carpenter Acoustical"," construction"
380," Lather, Metal Or Wood"," construction"
380," Carpenter Apprentice"," construction"
380," Maintenance Repairer, Building"," any industry"
380," Carpenter, Maintenance"," any industry"
380," Mechanic, Aircraft"," aircraft mfg."
380," Carpenter, Railcar"," railroad equip."
380," Mechanic, Radar"," any industry"
380," Painter"," construction"
380," Window Repairer"," any industry"
380," Painter, Sign"," any industry"
380," Paperhanger"," construction"
380," Pipe Coverer And Insulator"," ship-boat mfg."
380," Plasterer"," construction"
380," Exercise Physiologist"," medical ser."
380," Roofer"," construction"
380," Shipwright"," ship-boat mfg."
380," Steel Plate Caulker"," any industry"
380," Stonemason"," construction"
380," Street Light Servicer"," utilities"
380," Taper"," construction"
380," Tile Setter"," construction"
380," Truss Builder, Construction"," construction"
390," Bounty hunter"," business ser."
390," Special Policeman"," any industry"
390," Stucco Mason"," construction"
390," Painter, Transportation Equipment"," aircraft mfg."
390," Teacher, Physical Education"," education"
390," Bodyguard"," personal ser."
390," Pinsetter Mechanic, Automatic"," any industry"
390," Armored Car Guard"," business ser."
390," Sail Maker"," ship-boat mfg."
390," Septic Tank Installer"," construction"
390," Detective, Store"," retail trade"
390," Instructor, Physical Education"," education"
390," Public Address Setter-Up & Servicer"," any industry"
390," Sider"," construction"
390," Probation Officer"," profess. & kin."
390," Pneumatic Tube Repairer"," any industry"
390," Security Officer"," any industry"
390," Pipe Organ Tuner And Repairer"," any industry"
420," Television Receiver/Antenna Installer"," any industry"
420," Terrazzo Installer"," construction"
420," Canvas Repairer"," any industry"
420," Saddle Maker"," leather prod."
420," Embalmer"," personal ser."
420," Glass Cutter"," any industry"
430," Drum Straightener"," any industry"
430," Laminating Press Operator"," plastic prod."
430," Spinner, Hydraulic"," any industry"
430," Power Brake Operator"," any industry"
430," Torch Straightener And Heater"," any industry"
430," Filter Press Operator"," any industry"
430," Aircraft Service Worker"," air trans."
430," Shear Operator"," any industry"
430," Crusher Operator"," concrete prod."
460," Mixing Machine Operator"," any industry"
460," Yard Attendant, Building Materials"," retail trade"
460," Household Appliance Installer"," any industry"
460," Orderly"," medical ser."
460," Truck Driver Helper"," any industry"
460," Drophammer Operator"," aircraft mfg."
460," Chipper, Rough"," any industry"
460," Fitter, Metal"," any industry"
460," Cremator"," personal ser."
460," Metal Fabricator"," any industry"
460," Cylinder Press Feeder"," print. & pub."
460," Press Operator, Heavy Duty"," any industry"
460," Punch Press Operator, Automatic"," any industry"
460," Electrical Appliance Uncrater"," any industry"
460," Elevator Operator, Freight"," any industry"
460," Emergency Medical Technician"," medical ser."
460," Feeder"," print & pub."
460," Anodizer"," any industry"
460," Automobile Wrecker"," wholesale tr."
460," Grinder-Chipper, Rough"," any industry"
460," Baggage Handler"," r.r. trans."
460," Ice Cutter"," food prep., nec"
460," Ramp Attendant"," air trans."
460," Scrap Handler"," any industry"
460," Laborer, General"," steel & rel."
460," Slitting Machine Operator Helper"," any industry"
460," Laborer, Shipyard"," ship-boat mfg."
460," Tank Cleaner"," any industry"
460," Tire Changer"," automotive ser."
460," Tire Repairer"," automotive ser."
460," Machine Feeder, Raw Stock"," tex. prod., nec"
460," Material Stacker"," any industry"
460," Truck Loader"," any industry"
460," Washing Machine Loader And Puller"," laundry & rel."
460," Waste Disposal Attendant, Radioactive"," any industry"
460," Water Softener Servicer And Installer"," business ser."
460," Mixer, Paint (Machine)"," any industry"
460," Paper-Baling Machine Tender"," any industry"
460," Papercutting Machine Operator"," print & pub."
460," Mechanic, Safe And Vault"," business ser."
460," Pump Installer"," any industry"
470," Mechanic, Diesel"," any industry"
470," Stove Refinisher"," any industry"
470," Maintenance Mechanic"," any industry"
470," Fumigator"," business ser."
470," Maintenance Repairer, Indus. Machines and Plants"," any industry"
470," Robotics Service Technician"," machinery mfg."
480," Laborer, Wrecking & Salvaging"," construction"
480," Form Tamper Operator"," construction"
480," Television Technician"," radio-TV broad."
480," Hod Carrier"," construction"
480," Air Hammer Operator"," construction"
480," Asphalt Raker"," construction"
480," Laborer, Concrete Mixing Plant"," construction"
480," Billboard & Sign Erector"," fabrication, nec"
480," Laborer, Concrete Paving"," construction"
480," Billboard Erector Helper"," construction"
480," Laborer, Construction"," construction"
480," Blaster"," mining; construction"
480," Laborer, Road"," construction"
480," Bricklayer Helper"," construction"
480," Building Cleaner, Outside"," any industry"
480," Maintenance Worker, Municipal"," government ser."
480," Cable Puller"," construction"
480," Marble Setter Helper"," construction"
480," Millwright Helper"," any industry"
480," Carpenter Helper"," construction"
480," Mixer, Concrete"," construction"
480," Carpet Cutter"," retail trade"
480," Mixer, Mortar"," construction"
480," Carpet Layer Helper"," retail trade"
480," Caulker"," construction"
480," Painter Helper"," construction"
480," Cement Mason Helper"," construction"
480," Pipe Layer"," construction"
480," Cement Sprayer, Nozzle"," construction"
480," Pipe Layer Helper"," construction"
480," Concrete Stone Finisher"," concrete prod."
480," Plasterer Helper"," construction"
480," Concrete Vibrator Operator"," construction"
480," Core Drill Operator"," any industry"
480," Roofer Helper"," construction"
480," Decorator, Street And Building"," any industry"
480," Ditch Digger"," construction"
480," Exterminator, Termite"," business ser."
480," Floor Finisher Helper"," construction"
480," Sandblaster"," any industry"
480," Form Stripper"," construction"
480," Septic Tank Servicer"," construction"
480," Form Tamper"," construction"
480," Sewage Disposal Worker"," sanitary ser."
480," Sewer Line Repairer"," sanitary ser."
480," Shipfitter Helper"," ship-boat mfg."
480," Plumber Apprentice"," construction"
480," Plumber Helper"," construction"
480," Powerhouse Mechanic"," utilities"
480," Terrazzo Installer Helper"," construction"
480," Tile Setter Helper"," construction"
480," Wallpaper Remover, Steam"," construction"
480," Well Digger"," construction"
480," Well Drill Operator"," construction"
480," Well Drill Operator Helper"," construction"
480," Solar Energy System Installer"," any industry"
480," Wrecker, Construction"," construction"
481," Rigger/Slinger"," any industry"
481," Reinforcing Iron Worker"," construction"
481," Railroad Car Builder"," railroad equip."
481," Fence Erector"," construction"
481," Waysman"," Ship-boat mfg."
481," Air Conditioning Installer Service"," construction"
481," Bricklayer"," construction"
481," Plumber"," construction"
481," Bricklayer Apprentice"," construction"
481," Fitter"," construction,"
481," Form Builder"," construction"
481," Marble Setter"," construction"
481," Mechanic, Powerhouse"," utilities"
481," Pipe Fitter Helper"," construction"
481," Structural Steel Worker Helper"," construction"
481," Millwright"," any industry"
481," Ornamental Iron Worker"," construction"
481," Pipe Fitter"," construction"
481," Riveter, Pneumatic"," any industry"
481," Duct Installer"," construction"
481," Railway Car Repairer"," railroad equip."
481," Cable Television Installer"," radio-TV broad."
481," Shipfitter"," ship-boat mfg."
482," Line Installer-Repairer"," tel. & tel.; utilities"
482," Steeple Jack"," construction"
482," Tower Erector"," construction"
482," Bridge Worker"," construction"
482," Wind Generating Electric Power Inst."," construction"
482," Carpenter, Rough"," construction"
482," Painter, Bridge, Structural Steel"," construction"
482," Structural Steel Worker"," construction"
482," Carpet layer"," retail trade"
482," Tree Surgeon"," agriculture"
482," Elevator Constructor"," construction"
482," Steel Erector"," construction"
482," Rigger"," ship-boat mfg."
482," Wind Turbine Technician"," Construction; utilities"
482," Cement Mason"," construction"
482," Bridge Maintenance Worker"," construction"
490," Guard, Correctional Facility"," government ser."
490," Investigator, Vice"," government ser."
490," Jailer"," government ser."
490," Motorcycle Police Officer"," government ser."
490," Paramedic"," medical ser."
490," Park Ranger"," government ser."
490," Parole Officer"," profess. & kin."
490," Police Officer"," government ser."
490," Police Officer, State Highway"," government ser."
490," Sheriff, Deputy"," government ser."
490," Special Agent"," government ser."
490," Traffic Officer"," government ser."
490," Bailiff"," government ser."
490," Correctional Officer"," government ser."
490," Deputy, Court"," government ser."
490," Detective"," government ser."
490," Forest Fire Fighter"," forestry"
490," Farmer, General"," agriculture"
490," Fire Lookout"," forestry"
490," Fire Ranger"," forestry"
490," Fish And Game Warden"," government ser."
490," Group Supervisor"," government ser."
491," Landscape Gardener"," agriculture"
491," Christmas Tree Farm Worker"," forestry"
491," Cowpuncher"," agriculture"
491," Deckhand"," water trans., fishing & hunt"
491," Dog Catcher"," government ser."
491," Dog Groomer"," personal ser."
491," Fire Fighter"," any industry"
491," Farm Laborer, General"," agriculture"
491," Farmworker, Fruit"," agriculture"
491," Farmworker, Vegetable"," agriculture"
491," Fish Farmer"," fishing & hunt."
491," Fish Hatchery Laborer"," fishing & hunt."
491," Fisher, Line"," fishing & hunt."
491," Fisher, Net"," fishing & hunt."
491," Forester Aide"," forestry"
491," Fruit Picker"," agriculture"
491," Gardener"," domestic ser."
491," Groom"," any industry"
491," Groundskeeper"," any industry"
491," Police Captain"," government ser."
491," Horseshoer"," agriculture"
491," Irrigator, Gravity Flow"," agriculture"
491," Irrigator, Sprinkling System"," agriculture"
491," Laborer, Farm"," agriculture"
491," Lawn Service Worker"," agriculture"
491," Livestock Yard Attendant"," any industry"
491," Bee Keeper"," agriculture"
491," Cattle Herder"," agriculture"
491," Milker, Machine"," agriculture"
491," Orchard Sprayer, Hand"," agriculture"
491," Shellfish Grower"," fishing & hunt."
492," Diver"," any industry"
492," Fisher, Diving"," fishing & hunt."
492," Forest Worker"," forestry"
492," Tree Cutter"," agriculture"
493," Bicycle messenger"," business ser."
493," Ambulance Attendant"," medical ser."
560," Picker, Fruit"," agriculture"
560," Dolly Pusher"," radio-TV broad."
560," Furniture Mover"," motor trans."
560," Roll Tender/Setter"," print & pub."
560," Ambulance Driver"," medical ser."
560," Funeral Car Chauffeur"," personal ser."
560," Garbage Collector, Manual"," motor trans."
590," Tree Pruner, Low Level/Bucket"," agriculture"
590," Smoke Jumper"," forestry"
590," Guide, Alpine"," personal ser."
590," Stable Attendant"," any industry"